Estación Origen,Estación Destino,Ruta,Tipo de Recorrido
Portal Eldorado,Modelia,1,Ida
Modelia,Normandía,1,Ida
Normandía,AV. Rojas - UNISALESIANA,1,Ida
AV. Rojas - UNISALESIANA,El Tiempo - Cámara de Comercio de Bogotá,1,Ida
El Tiempo - Cámara de Comercio de Bogotá,Salitre - El Greco,1,Ida
Salitre - El Greco,CAN,1,Ida
CAN,Gobernación,1,Ida
Gobernación,Quinta Paredes,1,Ida
Quinta Paredes,Corferias,1,Ida
Corferias,Ciudad Universitaria - Lotería de Bogotá,1,Ida
Ciudad Universitaria - Lotería de Bogotá,Concejo de Bogotá,1,Ida
Concejo de Bogotá,Centro Memoria,1,Ida
Centro Memoria,Universidades - City U,1,Ida
Universidades - City U,Centro Memoria,1,Vuelta
Centro Memoria,Concejo de Bogotá,1,Vuelta
Concejo de Bogotá,Ciudad Universitaria - Lotería de Bogotá,1,Vuelta
Ciudad Universitaria - Lotería de Bogotá,Corferias,1,Vuelta
Corferias,Quinta Paredes,1,Vuelta
Quinta Paredes,Gobernación,1,Vuelta
Gobernación,CAN,1,Vuelta
CAN,Salitre - El Greco,1,Vuelta
Salitre - El Greco,El Tiempo - Cámara de Comercio de Bogotá,1,Vuelta
El Tiempo - Cámara de Comercio de Bogotá,AV. Rojas - UNISALESIANA,1,Vuelta
AV. Rojas - UNISALESIANA,Normandía,1,Vuelta
Normandía,Modelia,1,Vuelta
Modelia,Portal Eldorado,1,Vuelta
Portal 20 de Julio,Country Sur,2,Ida
Country Sur,Avenida 1° de Mayo,2,Ida
Avenida 1° de Mayo,Ciudad Jardín - UAN,2,Ida
Ciudad Jardín - UAN,Policarpa,2,Ida
Policarpa,San Bernardo,2,Ida
San Bernardo,Bicentenario,2,Ida
Bicentenario,San Victorino,2,Ida
San Victorino,Las Nieves,2,Ida
Las Nieves,San Diego,2,Ida
San Diego,Museo Nacional,2,Ida
Museo Nacional,San Diego,2,Vuelta
San Diego,Las Nieves,2,Vuelta
Las Nieves,San Victorino,2,Vuelta
San Victorino,Bicentenario,2,Vuelta
Bicentenario,San Bernardo,2,Vuelta
San Bernardo,Policarpa,2,Vuelta
Policarpa,Ciudad Jardín - UAN,2,Vuelta
Ciudad Jardín - UAN,Avenida 1° de Mayo,2,Vuelta
Avenida 1° de Mayo,Country Sur,2,Vuelta
Country Sur,Portal 20 de Julio,2,Vuelta
Portal del Tunal,Parque,3,Ida
Parque,Biblioteca,3,Ida
Biblioteca,Santa Lucía,3,Ida
Santa Lucía,Calle 40 S.,3,Ida
Calle 40 S.,Quiroga,3,Ida
Quiroga,Olaya,3,Ida
Olaya,Restrepo,3,Ida
Restrepo,Fucha,3,Ida
Fucha,Nariño,3,Ida
Nariño,Hortúa,3,Ida
Hortúa,Hospital,3,Ida
