Bus,Tramo,Estación Origen,Estación Destino
1A,1,Portal Eldorado,Modelia
1A,2,Modelia,Normandía
1A,3,Normandía,AV. Rojas - UNISALESIANA
1A,4,AV. Rojas - UNISALESIANA,El Tiempo - Cámara de Comercio de Bogotá
1A,5,El Tiempo - Cámara de Comercio de Bogotá,Salitre - El Greco
1A,6,Salitre - El Greco,CAN
1A,7,CAN,Gobernación
1A,8,Gobernación,Quinta Paredes
1A,9,Quinta Paredes,Corferias
1A,10,Corferias,Ciudad Universitaria - Lotería de Bogotá
1A,11,Ciudad Universitaria - Lotería de Bogotá,Concejo de Bogotá
1A,12,Concejo de Bogotá,Centro Memoria
1A,13,Centro Memoria,Universidades - City U
1B,14,Universidades - City U,Centro Memoria
1B,15,Centro Memoria,Concejo de Bogotá
1B,16,Concejo de Bogotá,Ciudad Universitaria - Lotería de Bogotá
1B,17,Ciudad Universitaria - Lotería de Bogotá,Corferias
1B,18,Corferias,Quinta Paredes
1B,19,Quinta Paredes,Gobernación
1B,20,Gobernación,CAN
1B,21,CAN,Salitre - El Greco
1B,22,Salitre - El Greco,El Tiempo - Cámara de Comercio de Bogotá
1B,23,El Tiempo - Cámara de Comercio de Bogotá,AV. Rojas - UNISALESIANA
1B,24,AV. Rojas - UNISALESIANA,Normandía
1B,25,Normandía,Modelia
1B,26,Modelia,Portal Eldorado
2A,27,Portal 20 de Julio,Country Sur
2A,28,Country Sur,Avenida 1° de Mayo
2A,29,Avenida 1° de Mayo,Ciudad Jardín - UAN
2A,30,Ciudad Jardín - UAN,Policarpa
2A,31,Policarpa,San Bernardo
2A,32,San Bernardo,Bicentenario
2A,33,Bicentenario,San Victorino
2A,34,San Victorino,Las Nieves
2A,35,Las Nieves,San Diego
2A,36,San Diego,Museo Nacional
2B,37,Museo Nacional,San Diego
2B,38,San Diego,Las Nieves
2B,39,Las Nieves,San Victorino
2B,40,San Victorino,Bicentenario
2B,41,Bicentenario,San Bernardo
2B,42,San Bernardo,Policarpa
2B,43,Policarpa,Ciudad Jardín - UAN
2B,44,Ciudad Jardín - UAN,Avenida 1° de Mayo
2B,45,Avenida 1° de Mayo,Country Sur
2B,46,Country Sur,Portal 20 de Julio
3A,47,Portal del Tunal,Parque
3A,48,Parque,Biblioteca
3A,49,Biblioteca,Santa Lucía
3A,50,Santa Lucía,Calle 40 S.
3A,51,Calle 40 S.,Quiroga
3A,52,Quiroga,Olaya
3A,53,Olaya,Restrepo
3A,54,Restrepo,Fucha
3A,55,Fucha,Nariño
3A,56,Nariño,Hortúa
3A,57,Hortúa,Hospital
3A,58,Hospital,Tercer Milenio
3A,59,Tercer Milenio,AV. Jiménez
3A,60,AV. Jiménez,Calle 19
3A,61,Calle 19,Calle 22
3A,62,Calle 22,Centro Memoria
3A,63,Centro Memoria,Concejo de Bogotá
3A,64,Concejo de Bogotá,Ciudad Universitaria - Lotería de Bogotá
3A,65,Ciudad Universitaria - Lotería de Bogotá,Recinto Ferial
3B,66,Recinto Ferial,Ciudad Universitaria - Lotería de Bogotá
3B,67,Ciudad Universitaria - Lotería de Bogotá,Concejo de Bogotá
3B,68,Concejo de Bogotá,Centro Memoria
3B,69,Centro Memoria,Calle 22
3B,70,Calle 22,Calle 19
3B,71,Calle 19,AV. Jiménez
3B,72,AV. Jiménez,Tercer Milenio
3B,73,Tercer Milenio,Hospital
3B,74,Hospital,Hortúa
3B,75,Hortúa,Nariño
3B,76,Nariño,Fucha
3B,77,Fucha,Restrepo
3B,78,Restrepo,Olaya
3B,79,Olaya,Quiroga
3B,80,Quiroga,Calle 40 S.
3B,81,Calle 40 S.,Santa Lucía
3B,82,Santa Lucía,Biblioteca
3B,83,Biblioteca,Parque
3B,84,Parque,Portal del Tunal
4A,85,Héroes – Gelhada,Polo - Fincomercio
4A,86,Polo - Fincomercio,Escuela Militar
4A,87,Escuela Militar,NQS – Calle 75
4A,88,NQS – Calle 75,AV. Chile
4A,89,AV. Chile,Simón Bolívar
4A,90,Simón Bolívar,Coliseo
